arm,time_s,target_timestamp_ns,source_timestamp_ns,source_index,age_ms,fx,fy,fz,tx,ty,tz
left,17.84,1787652128461508096,1787652128456868375,14268,4.639721,10.150929799834177,-5.076845640488788,1.561251528348067,-0.21921146302297811,-0.25804443740673344,0.5330100030283801
left,17.85,1787652128471508096,1787652128466971856,14276,4.53624,10.240081844076048,-5.560380048027621,1.8067327410352956,-0.21689591835579936,-0.2934260379938329,0.5741138617438399
left,17.86,1787652128481508096,1787652128476915125,14285,4.592971,11.021346616512611,-5.764601289610504,0.7279078594658941,-0.21466811385295587,-0.29986678702337854,0.6031838446826385
left,17.87,1787652128491508096,1787652128486932225,14292,4.575871,10.745265383896237,-5.7385663849088795,1.6369129121345614,-0.2166479084244631,-0.30977346432589087,0.6125052877045247
left,17.88,1787652128501508096,1787652128497409019,14303,4.099077,10.130335585949584,-5.569190134229156,2.0400738312095568,-0.22230364154808563,-0.25752158843918865,0.6148995102790908
left,17.89,1787652128511508096,1787652128506884554,14310,4.623542,9.702055030719213,-5.878105752463066,1.265567805462843,-0.22875244125551042,-0.21607713581081478,0.6152589074874215
left,17.9,1787652128521508096,1787652128516915824,14317,4.592272,9.345594306379692,-5.69160834383992,2.9420729094823908,-0.24152994480638304,-0.22427781489428333,0.6111273624595263
left,17.91,1787652128531508096,1787652128526920359,14326,4.587737,9.202882664144132,-5.578322030337311,2.7046330824608846,-0.2520470050025263,-0.2145517904050288,0.5972616037223533
left,17.92,1787652128541508096,1787652128536943765,14334,4.564331,9.04342878247722,-4.83738178683281,1.731973883196793,-0.26249138767496216,-0.2529770151528118,0.5795627099641305
left,17.93,1787652128551508096,1787652128547474820,14342,4.033276,9.040040213689197,-4.470695659468299,2.1084859922336743,-0.2722109691763283,-0.31340774676091926,0.5624652428067615
left,17.94,1787652128561508096,1787652128556879915,14351,4.628181,9.516594290757064,-4.392209685610398,1.689417013055035,-0.2800619098242741,-0.3298863579414222,0.5478588984083772
left,17.95,1787652128571508096,1787652128566905453,14359,4.602643,9.189779849216126,-4.452894380202726,1.6128454529063152,-0.28402669643328515,-0.3787465487227063,0.5514417694948668
left,17.96,1787652128581508096,1787652128576950286,14365,4.55781,10.300322769673448,-4.400023274446783,2.386120771587769,-0.29051281900775844,-0.336789363758911,0.5545296206470031
left,17.97,1787652128591508096,1787652128586871526,14372,4.63657,10.94037373677304,-4.519550478232073,2.098305648998303,-0.2953017756967518,-0.2565156323611512,0.5589636945244659
left,17.98,1787652128601508096,1787652128596931522,14380,4.576574,10.819109438844668,-4.4852184857047295,2.735901518407955,-0.30463718737129497,-0.22312855220889705,0.5641413235117742
left,17.99,1787652128611508096,1787652128606910401,14388,4.597695,11.130025755786923,-4.405143237553494,2.6112506388591417,-0.31080488237527076,-0.17764535407750248,0.5685462956304622
left,18.0,1787652128621508096,1787652128617169707,14396,4.338389,10.636004425414264,-4.382555955979982,2.9755588342884955,-0.31309913752554847,-0.13082751351062005,0.5766129397380262
left,18.01,1787652128631508096,1787652128626997467,14405,4.510629,10.591394697899027,-4.546268655599149,2.543036655158172,-0.3091060802155928,-0.11544345760728525,0.581046381000632
left,18.02,1787652128641508096,1787652128637110160,14412,4.397936,10.144310794310936,-4.685835472285778,3.6066120100206995,-0.2984834966368856,-0.06230003672208728,0.5854722081212159
left,18.03,1787652128651508096,1787652128647392901,14420,4.115195,10.049988960994673,-4.797857916800623,3.0210755200436097,-0.28440558211951117,-0.017131984679569223,0.5851940415015925
left,18.04,1787652128661508096,1787652128656887994,14428,4.620102,9.249642444735523,-4.937515975919978,2.9210162377629736,-0.2694848921571258,-0.03884700658366225,0.5877765302357407
left,18.05,1787652128671508096,1787652128667030910,14436,4.477186,9.339478291047243,-4.970460708136533,3.9567796682961416,-0.2555478622633676,-0.02046886926903191,0.5893413823740139
left,18.06,1787652128681508096,1787652128677150344,14446,4.357752,8.679854674309869,-5.0038147470653325,3.965383525084988,-0.25143129707090983,0.0025593737527045413,0.5862871795710696
